Epoch 28/4000 (0%) | Time: 00:00:14 | ETA: 16:25:35 | GPS: 17.446152 | green Avg Loss: -0.078129 | blue Avg Loss: -0.079137 | green Avg Reward: 1.283253 | blue Avg Reward: 0.569198 | Games Played: 250
Epoch 29/4000 (0%) | Time: 00:00:14 | ETA: 16:23:57 | GPS: 17.503736 | red Avg Loss: -0.078852 | blue Avg Loss: -0.079170 | red Avg Reward: 0.430241 | blue Avg Reward: 0.840879 | Games Played: 250
Epoch 30/4000 (0%) | Time: 00:00:13 | ETA: 16:21:46 | GPS: 17.873410 | green Avg Loss: -0.078219 | red Avg Loss: -0.078891 | green Avg Reward: 4.970688 | red Avg Reward: 0.679360 | Games Played: 250
Epoch 31/4000 (0%) | Time: 00:00:13 | ETA: 16:19:15 | GPS: 18.146890 | red Avg Loss: -0.079043 | green Avg Loss: -0.076911 | red Avg Reward: 1.002280 | green Avg Reward: 1.026331 | Games Played: 250
Epoch 32/4000 (0%) | Time: 00:00:14 | ETA: 16:18:47 | GPS: 17.009800 | red Avg Loss: -0.079088 | blue Avg Loss: -0.078322 | red Avg Reward: 0.251568 | blue Avg Reward: 1.076673 | Games Played: 250
Epoch 33/4000 (0%) | Time: 00:00:14 | ETA: 16:17:49 | GPS: 17.307533 | red Avg Loss: -0.079327 | blue Avg Loss: -0.079882 | red Avg Reward: 0.244693 | blue Avg Reward: 0.550511 | Games Played: 250
Epoch 34/4000 (0%) | Time: 00:00:14 | ETA: 16:16:49 | GPS: 17.363680 | blue Avg Loss: -0.078967 | green Avg Loss: -0.077734 | blue Avg Reward: 0.273356 | green Avg Reward: 0.810201 | Games Played: 250
Epoch 35/4000 (0%) | Time: 00:00:14 | ETA: 16:16:28 | GPS: 16.977730 | red Avg Loss: -0.079217 | green Avg Loss: -0.077899 | red Avg Reward: 0.576457 | green Avg Reward: 0.973272 | Games Played: 250
Epoch 36/4000 (0%) | Time: 00:00:14 | ETA: 16:15:43 | GPS: 17.238763 | blue Avg Loss: -0.079281 | green Avg Loss: -0.079330 | blue Avg Reward: 0.383168 | green Avg Reward: 0.414042 | Games Played: 250
Epoch 37/4000 (0%) | Time: 00:00:15 | ETA: 16:16:10 | GPS: 16.492790 | red Avg Loss: -0.080568 | blue Avg Loss: -0.078928 | red Avg Reward: 6.081622 | blue Avg Reward: 1.233282 | Games Played: 250
Epoch 38/4000 (0%) | Time: 00:00:14 | ETA: 16:15:10 | GPS: 17.431974 | red Avg Loss: -0.077341 | green Avg Loss: -0.079715 | red Avg Reward: 0.222335 | green Avg Reward: 0.365164 | Games Played: 250
Epoch 39/4000 (0%) | Time: 00:00:14 | ETA: 16:13:46 | GPS: 17.738180 | blue Avg Loss: -0.080381 | green Avg Loss: -0.078734 | blue Avg Reward: 0.731279 | green Avg Reward: 1.178173 | Games Played: 250
Epoch 40/4000 (1%) | Time: 00:00:14 | ETA: 16:12:59 | GPS: 17.335494 | red Avg Loss: -0.080368 | blue Avg Loss: -0.080108 | red Avg Reward: 0.532110 | blue Avg Reward: 0.732488 | Games Played: 250
