Series 1/1 (100%) | Time: 0.677729s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 2.000000 | Blue Troops: 1 | Red Troops: 4 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.766533s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 1.000000 | Blue Troops: 1 | Red Troops: 5 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.447308s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 100.000000 | Blue Troops: 2 | Red Troops: 1 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.572506s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 100.000000 | Blue Troops: 2 | Red Troops: 2 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.754308s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 99.000000 | Blue Troops: 2 | Red Troops: 3 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.986030s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 92.000000 | Blue Troops: 2 | Red Troops: 4 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 1.181851s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 68.000000 | Blue Troops: 2 | Red Troops: 5 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.463913s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 100.000000 | Blue Troops: 3 | Red Troops: 1 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.610069s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 99.000000 | Blue Troops: 3 | Red Troops: 2 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.861115s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 99.000000 | Blue Troops: 3 | Red Troops: 3 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 1.148558s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 99.000000 | Blue Troops: 3 | Red Troops: 4 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 1.340602s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 90.000000 | Blue Troops: 3 | Red Troops: 5 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.536943s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 100.000000 | Blue Troops: 4 | Red Troops: 1 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.709351s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 100.000000 | Blue Troops: 4 | Red Troops: 2 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 1.074135s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 99.000000 | Blue Troops: 4 | Red Troops: 3 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 1.159817s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 99.000000 | Blue Troops: 4 | Red Troops: 4 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 1.323624s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 98.000000 | Blue Troops: 4 | Red Troops: 5 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.537887s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 100.000000 | Blue Troops: 5 | Red Troops: 1 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 0.699427s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 99.000000 | Blue Troops: 5 | Red Troops: 2 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 1.017908s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 98.000000 | Blue Troops: 5 | Red Troops: 3 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 1.270145s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 99.000000 | Blue Troops: 5 | Red Troops: 4 | Enemy Type: Random Enemy
Series 1/1 (100%) | Time: 1.454764s | Episodes: 100 | Avg Reward: 0.000000 | Blue/Red win percantage: 98.000000 | Blue Troops: 5 | Red Troops: 5 | Enemy Type: Random Enemy
