Epoch 24/4000 (0%) | Time: 00:00:15 | ETA: 17:38:27 | GPS: 16.363561 | green Avg Loss: -0.079183 | red Avg Loss: -0.079857 | green Avg Reward: 1.317301 | red Avg Reward: 1.782398 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 25/4000 (0%) | Time: 00:00:15 | ETA: 17:36:36 | GPS: 16.263096 | blue Avg Loss: -0.081528 | red Avg Loss: -0.091297 | blue Avg Reward: 1.988694 | red Avg Reward: 3.344265 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 26/4000 (0%) | Time: 00:00:15 | ETA: 17:34:32 | GPS: 16.402734 | green Avg Loss: -0.080637 | blue Avg Loss: -0.079972 | green Avg Reward: 1.642718 | blue Avg Reward: 1.813542 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 27/4000 (0%) | Time: 00:00:15 | ETA: 17:33:10 | GPS: 16.155620 | blue Avg Loss: -0.081680 | green Avg Loss: -0.083212 | blue Avg Reward: 2.265295 | green Avg Reward: 2.922439 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 28/4000 (0%) | Time: 00:00:15 | ETA: 17:32:25 | GPS: 15.921279 | blue Avg Loss: -0.079558 | green Avg Loss: -0.080491 | blue Avg Reward: 1.832211 | green Avg Reward: 1.745435 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 29/4000 (0%) | Time: 00:00:16 | ETA: 17:32:57 | GPS: 15.390032 | green Avg Loss: -0.080224 | blue Avg Loss: -0.079100 | green Avg Reward: 3.436325 | blue Avg Reward: 2.953572 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 30/4000 (0%) | Time: 00:00:17 | ETA: 17:36:47 | GPS: 14.068399 | blue Avg Loss: -0.075328 | red Avg Loss: -0.103539 | blue Avg Reward: 8.713808 | red Avg Reward: 81.752670 | blue Games Won: 0 | red Games Won: 7 | Games Played: 250
Epoch 31/4000 (0%) | Time: 00:00:15 | ETA: 17:35:42 | GPS: 16.036092 | green Avg Loss: -0.081395 | blue Avg Loss: -0.080671 | green Avg Reward: 2.503293 | blue Avg Reward: 1.971955 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 32/4000 (0%) | Time: 00:00:18 | ETA: 17:40:36 | GPS: 13.546516 | blue Avg Loss: -0.081914 | red Avg Loss: -0.145318 | blue Avg Reward: 9.656796 | red Avg Reward: 51.680840 | blue Games Won: 0 | red Games Won: 3 | Games Played: 250
Epoch 33/4000 (0%) | Time: 00:00:16 | ETA: 17:40:20 | GPS: 15.587336 | green Avg Loss: -0.084213 | blue Avg Loss: -0.080783 | green Avg Reward: 1.925039 | blue Avg Reward: 2.616673 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
