Epoch 19/40000 (0%) | Time: 00:00:05 | ETA: 89:49:03 | GPS: 42.403581 | red Avg Loss: -0.237767 | Original AI Avg Loss: 0.000000 | red Avg Reward: 49.212887 | Original AI Avg Reward: 0.000000 | red Games Won: 4 | Original AI Games Won: 205 | Games Played: 250
Epoch 20/40000 (0%) | Time: 00:00:06 | ETA: 88:46:51 | GPS: 40.163036 | green Avg Loss: -0.280529 | Original AI Avg Loss: 0.000000 | green Avg Reward: 41.295494 | Original AI Avg Reward: 0.000000 | green Games Won: 3 | Original AI Games Won: 217 | Games Played: 250
Epoch 21/40000 (0%) | Time: 00:00:06 | ETA: 87:45:29 | GPS: 41.222737 | green Avg Loss: -0.220851 | Original AI Avg Loss: 0.000000 | green Avg Reward: 52.754337 | Original AI Avg Reward: 0.000000 | green Games Won: 5 | Original AI Games Won: 201 | Games Played: 250
Epoch 22/40000 (0%) | Time: 00:00:06 | ETA: 86:54:31 | GPS: 40.166620 | red Avg Loss: -0.271180 | Original AI Avg Loss: 0.000000 | red Avg Reward: 61.456116 | Original AI Avg Reward: 0.000000 | red Games Won: 8 | Original AI Games Won: 212 | Games Played: 250
Epoch 23/40000 (0%) | Time: 00:00:05 | ETA: 85:59:58 | GPS: 42.037087 | green Avg Loss: -0.231608 | Original AI Avg Loss: 0.000000 | green Avg Reward: 35.399929 | Original AI Avg Reward: 0.000000 | green Games Won: 2 | Original AI Games Won: 212 | Games Played: 250
Epoch 24/40000 (0%) | Time: 00:00:06 | ETA: 85:13:52 | GPS: 41.061979 | red Avg Loss: -0.260346 | Original AI Avg Loss: 0.000000 | red Avg Reward: 50.617882 | Original AI Avg Reward: 0.000000 | red Games Won: 5 | Original AI Games Won: 216 | Games Played: 250
Epoch 25/40000 (0%) | Time: 00:00:06 | ETA: 84:31:05 | GPS: 41.151911 | blue Avg Loss: -0.264142 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 45.105747 | Original AI Avg Reward: 0.000000 | blue Games Won: 4 | Original AI Games Won: 209 | Games Played: 250
Epoch 26/40000 (0%) | Time: 00:00:06 | ETA: 84:03:34 | GPS: 38.209938 | green Avg Loss: -0.286423 | Original AI Avg Loss: 0.000000 | green Avg Reward: 46.644501 | Original AI Avg Reward: 0.000000 | green Games Won: 4 | Original AI Games Won: 214 | Games Played: 250
Epoch 27/40000 (0%) | Time: 00:00:06 | ETA: 83:30:36 | GPS: 40.070187 | green Avg Loss: -0.255901 | Original AI Avg Loss: 0.000000 | green Avg Reward: 30.848038 | Original AI Avg Reward: 0.000000 | green Games Won: 0 | Original AI Games Won: 216 | Games Played: 250
Epoch 28/40000 (0%) | Time: 00:00:05 | ETA: 82:49:47 | GPS: 43.023480 | green Avg Loss: -0.281302 | Original AI Avg Loss: 0.000000 | green Avg Reward: 46.134869 | Original AI Avg Reward: 0.000000 | green Games Won: 4 | Original AI Games Won: 207 | Games Played: 250
Epoch 29/40000 (0%) | Time: 00:00:06 | ETA: 82:24:07 | GPS: 39.384380 | green Avg Loss: -0.297745 | Original AI Avg Loss: 0.000000 | green Avg Reward: 30.089357 | Original AI Avg Reward: 0.000000 | green Games Won: 0 | Original AI Games Won: 218 | Games Played: 250
Epoch 30/40000 (0%) | Time: 00:00:05 | ETA: 81:45:51 | GPS: 43.825511 | blue Avg Loss: -0.219798 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 43.786823 | Original AI Avg Reward: 0.000000 | blue Games Won: 4 | Original AI Games Won: 216 | Games Played: 250
Epoch 31/40000 (0%) | Time: 00:00:05 | ETA: 81:14:41 | GPS: 42.236545 | blue Avg Loss: -0.262283 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 38.032162 | Original AI Avg Reward: 0.000000 | blue Games Won: 3 | Original AI Games Won: 218 | Games Played: 250
Epoch 32/40000 (0%) | Time: 00:00:05 | ETA: 80:44:23 | GPS: 42.603883 | red Avg Loss: -0.292220 | Original AI Avg Loss: 0.000000 | red Avg Reward: 38.714310 | Original AI Avg Reward: 0.000000 | red Games Won: 2 | Original AI Games Won: 210 | Games Played: 250
Epoch 33/40000 (0%) | Time: 00:00:05 | ETA: 80:13:30 | GPS: 43.489248 | red Avg Loss: -0.292665 | Original AI Avg Loss: 0.000000 | red Avg Reward: 50.557201 | Original AI Avg Reward: 0.000000 | red Games Won: 4 | Original AI Games Won: 198 | Games Played: 250
Epoch 34/40000 (0%) | Time: 00:00:06 | ETA: 79:50:32 | GPS: 41.251974 | red Avg Loss: -0.330535 | Original AI Avg Loss: 0.000000 | red Avg Reward: 43.365620 | Original AI Avg Reward: 0.000000 | red Games Won: 3 | Original AI Games Won: 208 | Games Played: 250
Epoch 35/40000 (0%) | Time: 00:00:05 | ETA: 79:16:35 | GPS: 46.173426 | blue Avg Loss: -0.315068 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 42.144768 | Original AI Avg Reward: 0.000000 | blue Games Won: 4 | Original AI Games Won: 220 | Games Played: 250
Epoch 36/40000 (0%) | Time: 00:00:05 | ETA: 78:51:02 | GPS: 43.355400 | blue Avg Loss: -0.242329 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 55.354973 | Original AI Avg Reward: 0.000000 | blue Games Won: 6 | Original AI Games Won: 205 | Games Played: 250
Epoch 37/40000 (0%) | Time: 00:00:05 | ETA: 78:28:31 | GPS: 42.667173 | blue Avg Loss: -0.210303 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 47.174198 | Original AI Avg Reward: 0.000000 | blue Games Won: 5 | Original AI Games Won: 218 | Games Played: 250
Epoch 38/40000 (0%) | Time: 00:00:06 | ETA: 78:11:04 | GPS: 41.120615 | green Avg Loss: -0.312871 | Original AI Avg Loss: 0.000000 | green Avg Reward: 43.369759 | Original AI Avg Reward: 0.000000 | green Games Won: 3 | Original AI Games Won: 212 | Games Played: 250
Epoch 39/40000 (0%) | Time: 00:00:05 | ETA: 77:47:11 | GPS: 44.229016 | red Avg Loss: -0.295966 | Original AI Avg Loss: 0.000000 | red Avg Reward: 37.250477 | Original AI Avg Reward: 0.000000 | red Games Won: 2 | Original AI Games Won: 219 | Games Played: 250
Epoch 40/40000 (0%) | Time: 00:00:06 | ETA: 77:31:29 | GPS: 41.176843 | red Avg Loss: -0.249724 | Original AI Avg Loss: 0.000000 | red Avg Reward: 34.451820 | Original AI Avg Reward: 0.000000 | red Games Won: 1 | Original AI Games Won: 214 | Games Played: 250
Epoch 41/40000 (0%) | Time: 00:00:06 | ETA: 77:23:43 | GPS: 38.383843 | green Avg Loss: -0.272870 | Original AI Avg Loss: 0.000000 | green Avg Reward: 37.690025 | Original AI Avg Reward: 0.000000 | green Games Won: 2 | Original AI Games Won: 220 | Games Played: 250
Epoch 42/40000 (0%) | Time: 00:00:05 | ETA: 77:06:19 | GPS: 42.495081 | red Avg Loss: -0.293407 | Original AI Avg Loss: 0.000000 | red Avg Reward: 52.129383 | Original AI Avg Reward: 0.000000 | red Games Won: 6 | Original AI Games Won: 217 | Games Played: 250
Epoch 43/40000 (0%) | Time: 00:00:06 | ETA: 76:52:36 | GPS: 41.199789 | green Avg Loss: -0.332432 | Original AI Avg Loss: 0.000000 | green Avg Reward: 36.722683 | Original AI Avg Reward: 0.000000 | green Games Won: 2 | Original AI Games Won: 212 | Games Played: 250
Epoch 44/40000 (0%) | Time: 00:00:06 | ETA: 76:41:10 | GPS: 40.463758 | green Avg Loss: -0.310753 | Original AI Avg Loss: 0.000000 | green Avg Reward: 30.615953 | Original AI Avg Reward: 0.000000 | green Games Won: 1 | Original AI Games Won: 221 | Games Played: 250
Epoch 45/40000 (0%) | Time: 00:00:05 | ETA: 76:25:50 | GPS: 42.502619 | blue Avg Loss: -0.239761 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 47.454735 | Original AI Avg Reward: 0.000000 | blue Games Won: 4 | Original AI Games Won: 206 | Games Played: 250
Epoch 46/40000 (0%) | Time: 00:00:05 | ETA: 76:08:36 | GPS: 43.835484 | red Avg Loss: -0.405761 | Original AI Avg Loss: 0.000000 | red Avg Reward: 54.241276 | Original AI Avg Reward: 0.000000 | red Games Won: 6 | Original AI Games Won: 213 | Games Played: 250
